-3.479		-0.892	1.407	-3.779	-3.188	5.818	2.207
7.918		0.114	-0.194	3.017	1.774	1.074	0.087
2.162	2.501	7.297	1.402	-3.236	-2.566	2.718	1.323
2.721	-0.122		-3.45	2.003	2.442	-2.052	
2.171	0.264	-3.167	-0.543	-1.46	1.232	1.748	-0.661
-3.479	3.42	-0.892	1.407	-3.779	-3.188	5.818	2.207
7.918	1.12	0.114	-0.194	3.017	1.774	1.074	
2.162	2.501	7.297	1.402	-3.236		2.718	1.323
2.721	-0.122		-3.45	2.003	2.442	-2.052	1.873
2.171	0.264	-3.167	-0.543	-1.46	1.232	1.748	-0.661
2.162	2.501	7.297	1.402	-3.236	-2.566	2.718	1.323
2.721	-0.122		-3.45	2.003	2.442	-2.052	
2.171	0.264	-3.167	-0.543	-1.46	1.232	1.748	-0.661
-3.479		-0.892	1.407	-3.779	-3.188	5.818	2.207
7.918		0.114	-0.194	3.017	1.774	1.074	0.087
